"S.c","I.c","R.c","S.m","I.m","R.m","p.c","p.m","time","auc.c","auc.m","max.c","max.m"
63.2761472178555,0.00130286576812696,0.00159223089797745,557.876153534205,0.0299035931635797,0.0430374774420407,2.0589214382405e-05,5.35955581839596e-05,2001,0.0388027690510278,0.0267462273965346,0.0155335794523337,0.00371316053134403
617.446980737885,0.00229988692852143,0.00190627074869058,469.115574468237,0.0928796477434602,0.238121604957931,3.72480768898489e-06,0.00019784923897,2001,0.000650607430607297,0.00612562627914226,0.00163189961431945,0.000410078531530917
214.825975484805,0.000752002321353909,0.000574859039211996,445.427433849774,0.00117116914266969,0.0295279228950245,3.50049697194521e-06,2.62913404439441e-06,2001,0.00879687227179393,0.000440886367903209,0.00352419173939028,4.88504612290561e-05
581.283450307848,1.01438929741764e-06,2.21553217820957e-06,650.432469869602,1.4311546175308e-06,7.98343284577176e-06,1.74508545055588e-09,2.20031235080051e-09,2001,0.00222631092747458,0.000251093291005318,0.00177518141343507,6.57621851774101e-05
977.513208087641,1.14881101027632e-08,6.55448175720656e-07,385.804483676346,4.94729281542125e-06,6.57792416552829e-06,1.17523834970986e-11,1.2823315635129e-08,2001,0.000627490166849407,0.00010520215134344,0.00103668221669695,2.76016313058146e-05
829.218217101541,0.000337020283130243,0.000300702985088561,447.155180412356,0.0167430042293179,0.000976758057574862,4.06431041900809e-07,3.74419027243801e-05,2001,0.00155361280213465,0.00221307521869574,0.00126765782211848,0.000196548424546466
753.20123025632,0.0831964321685323,0.137680532738877,500.746103649825,0.215818567552249,0.0477558494266849,0.000110424729207081,0.000430767262590629,2001,0.00519532447166449,0.0113686546234781,0.00142460046903437,0.000702513444068596
268.329724218688,2.58409205235235e-09,7.94979646162880e-10,480.239055789104,1.26748567002729e-07,1.06514192251918e-06,9.63028624519353e-12,2.63928069073618e-10,2001,0.0016173039864372,0.000337653617083968,0.00327277858053901,0.000137116028313326
771.149178907372,0.000111409638745647,4.93012687030837e-05,442.147227576686,0.000194009470068191,0.000830382815959521,1.44472196268488e-07,4.38788277923137e-07,2001,0.00150415762731936,0.00105111779179703,0.00117640635803197,0.000205399565164851
298.67279566931,0.000261147684691341,4.4477033951358e-05,127.125146842837,0.00166070071894309,0.00131111682710482,8.7435957091514e-07,1.30632053431041e-05,2001,0.00119863882155342,0.00092601577931356,0.00305604214504785,9.67533620787252e-05
